===== FarPoint Technologies, Inc =====
===== Begin of Excel Workbook General Load =====
10/28/2021 - 19:12

Col	Row	Information
___	___	___________
		Import Excel File: D:\Work Space\sasi\Ref\169.xls

===== End of Excel Workbook General Load =====

===== Begin of Excel Sheet Load =====
		Import Sheet:  -1
11	67	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	67	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	68	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	68	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	68	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	68	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	69	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	69	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	69	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	69	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	70	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	70	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	70	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	70	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	71	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	71	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	71	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	71	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	72	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	72	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	72	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	72	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	73	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	73	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	73	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	73	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	74	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	74	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	74	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	74	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	75	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	75	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	75	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	75	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	76	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	76	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	76	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	76	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	77	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	77	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	77	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	77	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	78	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	78	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	78	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	78	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	79	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	79	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	79	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	79	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	80	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	80	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	80	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	80	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	81	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	81	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	81	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	81	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	82	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	82	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	82	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	82	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	83	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	83	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	83	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	83	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	84	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	84	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	84	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	84	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	85	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	85	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	85	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	85	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	86	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	86	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	86	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	86	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	87	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
